id,participant,sample_id,context,verbatim,words,experience_type,unit_type,disfluency,laughter,speech_certainty,clause,dependent_clause,"coordinate_clause
",clarity,ellipsis,comments
64,participant_c,7.4.1,"participant_c is comparing two photographs of the same location in Toronto, one from 1971 and one from 2022. He is looking at the 2022 photo and has noticed a distinctive building.","I was, I, I was again, sort of halfway between hearing and speaking ‘1971.’ And it was, it was, it was quite slow. It was 19…7… like I was looking at the 1971 picture and it was like, I could hear myself saying ‘nine---teen… seventy… one.’ [...] RTH: So we could call this maybe a passive speaking? [participant_c: Yeah. Yeah.] Or a hearing? 49:54 participant_c: A passive speaking. Yeah.",1971,inner_speaking,single_word,absent,absent,certain,0,0,0,high,absent,
65,participant_c,7.4.2,"participant_c is comparing two photographs of the same location in Toronto, one from 1971 and one from 2022. He is looking at the 2022 photo and has noticed a distinctive building.","It was like, there was a faint trace of the words ‘building there,’ but only a faint hint somehow of those words, without clearly apprehending them or hearing them. [...] The meaning was there, but the words weren’t very clear. [...] Is it possible that there was a faint trace of the words ‘Is that building still there?’ but only very, very faintly present in experience?",Building there?,indeterminate,fragment,absent,absent,uncertain,0,0,0,high,present,
72,participant_c,10.5.1,"participant_c was sitting at his computer, experiencing physical discomfort after eating. He had been thinking about how little he had eaten throughout the day.","I was thinking to myself with words, ‘I am not hungry.’ This was clearly speaking. It was like I was making the statement to someone.",I am not hungry,inner_speaking,full_sentence,absent,absent,certain,1,0,0,high,absent,
76,participant_d,4.6.1,"participant_d is walking down the street and entering a coffee shop, where he sees his friend Naz, who is smiling and about to give him a fist-bump.","I saw my friend Naz who works at the coffeeshop, and he fist-bumped me while I was thinking about the word “story.” [...] I could hear it basically in my head, but I can’t quite figure out if I was hearing it or if it was inner hearing versus inner speech. [...] It sounded like me whispering ""story.""",story,indeterminate,single_word,absent,absent,certain,0,0,0,high,absent,
81,participant_e,7.3.1,participant_e was reading a paper about phenomenology.,"It’s my internal voice, but it’s just my voice. [...] The words, uh, ‘the body’ were in my experience, and, um, uh, and it was internal speaking [...] I’m experiencing it as my voice. The black box is the person’s internal states. And then the person’s head below that, that represented the body. And I was thinking about how all of those things are connected to the body.",the body,inner_speaking,phrase,absent,absent,certain,0,0,0,high,absent,
84,participant_e,8.7.3,"participant_e was reading from a philosophical paper that discussed the phrases “Hesperus is Hesperus” and “Hesperus is Phosphorus,” which refer to the planet Venus. While reading, his attention was focused on one of these phrases. At the same time, he was engaged in a line of abstract reflection prompted by the content of the text, considering how such statements might be understood by an omniscient being.","I was experiencing the words, uh, “Hesperus is Hesperus” also spoken by my professor. [...] I experience myself as speaking it. RTH: do I experience myself as speaking it or do I experience myself as hearing it? Or both, or neither? 48:00 participant_e: I, I experience myself as speaking it.",Hesperus is Hesperus,inner_speaking,full_sentence,absent,absent,certain,1,0,0,high,absent,
86,participant_e,9.6.1,The participant was taking notes in class and had just written the words “limited knowledge” on paper. The professor was also speaking in the background.,"And in my experience, uh, where, was my inner voice, uh, saying the words “limited knowledge.” And, uh, and that was because, for context, I had just written them down on a piece of paper. ",limited knowledge,inner_speaking,phrase,absent,absent,certain,0,0,0,high,absent,
90,participant_e,11.3.1,"participant_e was getting ready for bed and recalling a conversation he had with a professor. Simultaneously, a video was playing in the background, where the phrase “electromagnetic radiation” was spoken."," So in, uh, in my experience at the moment of the beep was, wa was the word, uh, auditorially, “Chalmers” with a question mark. I would say, um, so the, the second the latter option was, um, was that I heard the whole sentence. [...] I will say, although I am remembering this conversation, it still does feel like I’m producing the words in, in this remembering. [...] It means I’m speaking them again, like I’m reciting, basically.",Chalmers?,inner_speaking,single_word,absent,absent,certain,0,0,0,high,absent,
93,participant_e,13.5.1,"participant_e was taking a break and playing Minecraft. During gameplay, his attention was drawn to a section of the environment that resembled an unnatural, alien-like structure. This visual scene triggered associations with the fiction of H. P. Lovecraft. At the same time, he was mentally engaged in an imagined interaction with a friend related to the game.","And at the moment of the beep, uh, there was the, uh, auditorially present to me were the words “It wasn’t just.” And this was my internal voice and I was speaking, um, it was an internal speaking and it, I, it was also experienced as speaking to a friend. [...] The rest of the sentence wasn’t there... just going on in the back of my head. [...] However, everything else, I don’t know. I don’t know why I was saying it specifically, or what I was saying it about, or the rest of the context of this imagined conversation. All I know are those three words",It wasn’t just,inner_speaking,fragment,absent,absent,certain,1,0,0,low,absent,
12,participant_b,4.1.1,participant_b is in a Zoom lecture with a large PowerPoint (200 slides). He considers messaging a friend to split up note-taking duties. The beep catches him in a brief daydream.," I was saying, “I’ll do the first half of this lecture if you do the second.” […] I’m saying it. Yeah. Almost like I’m saying it to her. It wasn’t like I was thinking about typing it.",I’ll do the first half of this lecture if you do the second.,inner_speaking,full_sentence,absent,absent,certain,2,1,0,high,absent,
15,participant_b,5.1.1,"participant_b is typing a message on his phone. After completing a sentence, he decides to move a word and retypes “innocent.” At the moment of the beep, he is no longer thinking about the full sentence but is solely focused on the word as he types it.","I wasn’t thinking about the sentence at all anymore. I was just saying the word “innocent” as I was typing it. So I was saying it like slowly, ‘cause I type slower on my phone than I do when I type on a computer. So it was like saying “in-nuh-sint” in my head when I was typing.",in-nuh-sint,inner_speaking,single_word,absent,absent,certain,0,0,0,high,absent,
16,participant_b,5.3.1,"participant_b is taking a test and reading a clinical case study with answer options. While shifting his attention back to the case description, he reflects on the need to identify the diagnosis before choosing treatment.","I said in my own voice, in my head, “I have to figure out what it is first.”",I have to figure out what it is first.,inner_speaking,full_sentence,absent,absent,certain,2,1,0,high,absent,
23,participant_b,7.3.2,"participant_b is asleep on a plane and dreaming. In the dream, he witnesses a medical emergency and sees himself kneeling in the aisle giving directions about a stethoscope’s location.","I said, “It’s in the second biggest pocket. Oops. I mean the second smallest pocket,” in reference to my stethoscope.  “I just don’t think it’s fair to compare. ‘Cause it’s a dream. I genuinely don’t. It’s a completely different experience.” “So like, obviously, I don’t know. I can’t break down the dreams.” Yeah. I mean, it was coming from my vantage point. So like, obviously, I don’t know. I knew the person on the knee was saying it... But the voice doesn’t come from the person down at the end. [...] AK: And this is a hearing thing. Like I don’t experience myself as the speaker. I’m hearing the words? 22:08 participant_b: No, I’m experiencing myself as a speaker saying it",It’s in the second biggest pocket. Oops. I mean the second smallest pocket,inner_speaking,full_sentence,present,absent,certain,2,0,0,high,present,i mean it is in the smallest pocket
36,participant_f,6.1.1,"The participant was outside. The participant was internally verbalizing the sentence “Aha. So Randy is not a…” at the moment of the beep. However, only the word “a” was fully present in their conscious awareness at that instant. They retrospectively recalled the broader sentence structure but emphasized that their experience was solely focused on “a” when the beep occurred. The participant also noted that they were in a paused state, trying to think of the next word. They later determined that the word they had been searching for was likely “perfectionist,” though this was not explicitly present at the moment of the beep.","I was thinking of the word a and, um, and it was part of the sentence, Aha. So Randy is not a...., But the ""a"" was definitely like the last thing before the beeper beeps. And it was just in my head. RTH:... is this seem like you’re speaking these words? Or these words present without speaking? Or 2:44 participant_f: Present without speaking. I know they were coming from me, but I wasn’t speaking. [...] I can tell you in retrospect what the whole sentence was, but I was at the ""a"". I think I was paused at the ‘a’ and trying to think of the next word",a,indeterminate,single_word,present,absent,certain,0,0,0,high,absent,
40,participant_g,3.4.2,"The participant was communicating with a colleague via Slack when they received a message stating that someone would be unavailable for six weeks due to attending a retreat without their phone. This surprising information led to an internal reaction where they imagined themselves saying “Whaaa” in an exaggerated, comical manner. This inner response was accompanied by a simultaneous visualization of the word “WHAAA” appearing as typed text on a computer screen, similar to how they might have typed it in the chat.","I’m hearing my voice in an exaggerated vaguely comical way saying “Whaaa!” But I’m hearing my voice, my internal version of my voice, not my external version of my voice. RTH: And this is a hearing phenomenon, as opposed to a speaking phenomenon? [participant_g: Yes.] I don’t experience myself as saying “Whaa,” I experience it, as in the speaking into the tape recorder, this is, this is my inner tape recorder playing back to me “Whaaa”? Is that right? 45:26 participant_g: Yeah",Whaaa,inner_hearing,partial_word,absent,absent,certain,0,0,0,high,absent,
44,participant_g,5.1.1,participant_g is composing a text message on her computer while also experiencing the words she is typing in her consciousness.,"So I was typing a text message, um, um, on my computer. Uh, and what I’ve written is thinking the words.[...] Do I hear the words or do I just exper, I mean, I think I hear the words. [...] I think I hear the words in my voice. [...] I think I hear my voice producing the words.",indeterminate,inner_hearing,indeterminate,absent,absent,uncertain,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,
47,participant_h,3.6.2,"participant_h was in a meeting discussing protocols while simultaneously reaching for the dressing in her salad container. She was visually focused on her hand reaching for the dressing while also thinking about how her friend pronounced the word ""protocol.""","[...] in my mind, at the same time I was think about the word protocol, the way he says it. [...]I’m trying to… yeah, saying it the way he says it [...] RTH: But at the moment you are speaking, innerly speaking?” participant_h: “Yeah. [...] It is that I’m producing ‘em. So that’s why I would call ‘em spoken rather than heard, because I’m not hearing anything",protocol,inner_speaking,single_word,absent,absent,certain,0,0,0,high,absent,
50,participant_h,6.4.2,participant_h is outside walking back to her apartment.,"It feels like I’m singing this song, but in my head. [...] RTH: Are we saying that there’s this participant_h, uh, this, this Taylor Swift, I’m hearing Taylor Swift singing? [participant_h: Uh huh.] And then participant_h is singing alongside that, [participant_h: Yes.] so that this is a parallel kind of a thing? [participant_h: Yes.] Or are we saying that participant_h is calling this hearing of Taylor Swift a, a singing because I’m sort of producing that? 30:19 participant_h: Oh, it might be that, that makes more sense. Yeah. That second one. That makes more sense. Yes. 30:27 RTH: So the, it’s not, so the, my experience of this second variety here is not so much that I am singing, but that I am producing this…. 30:39 participant_h: …I am producing the words in Taylor Swift’s voice. 30:43 RTH: Yeah, [inaudible] And, and rhythm, according to my walking? 30:51 participant_h: Yes. Yes. 31:06 CK: I think I’m good. 31:08 RTH: So the bottom, the bottom line of that portion is the, the there’s really no, no experience of singing. What there is, is an experience of producing a hearing of Taylor Swift experience?  participant_h: Yes",indeterminate,inner_hearing,indeterminate,absent,absent,uncertain,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,
53,participant_c,3.4.1,participant_c is crossing the street to enter a bank after locking his bike with Eva-Stina’s lock. He is repeating the lock combination to consolidate it in memory while also considering whether to wear the beeper inside the bank.,"I innerly said to myself, ‘should I wear the beeper?’",Should I wear the beeper?,inner_speaking,full_sentence,absent,absent,certain,1,0,0,high,absent,
62,participant_c,7.1.1,"participant_c was in the entranceway of his home, respooling doggy bags that had unraveled. It was a hot day, and he was reflecting on not wanting to go out to get groceries","It was just like, I could hear myself saying, ‘I don’t really want to,’ [...] I was referring to not wanting to go out to get some groceries. [...] The realization that nobody really wants to do anything when it’s so hot. [...] I innerly heard what was like an echo of myself saying ‘I don’t really want to.’",I don’t really want to,inner_hearing,fragment,absent,absent,certain,1,0,0,high,present,
68,participant_c,8.2.1,"participant_c is trying to reconnect his computer to WiFi after an outage. He had previously considered that his upstairs neighbors, with whom they share the internet, might have changed the password.","At the moment before the beep, I vaguely was innerly saying to myself ‘sometimes it’s really.’ But I, I don’t clearly know what this thought was, but I felt like I was like, I was, I felt like I was talking to Eva-Stina. [...] It was like, I was thinking… in a context where she’s in the room and I say something to her, or I think about something I’m about to say to her. It was this presence of a directedness towards her for some reason. [...] is incomplete and I, I don’t know, I don’t know where I was going with that. ",sometimes it's really,inner_speaking,fragment,present,absent,certain,1,0,0,low,absent,
77,participant_e,5.4.1,"participant_e was searching for “coffee roll” on Google and had misspelled it. He was reading the correctly spelled phrase “coffee roll” displayed on the screen and simultaneously experiencing an internal auditory phenomenon of the same phrase. He was also visually attending to the “Did you mean: coffee roll” suggestion, but only as a clickable button, not as a textual correction","I had spoken the word “coffee roll.” [...] I think I’m innerly speaking.[...] in this case, it, I would say that it feels more like innerly speaking because it does feel like my will is directing the words, even though it doesn’t really sound like my voice. [...] It’s a human voice, kind of whispery, but also not really whispery. [...] The innerly speaking happens involuntarily whenever I innerly read.",coffee roll,inner_speaking,phrase,absent,absent,certain,0,0,0,high,absent,
80,participant_e,7.2.1,"participant_e was in class, having just taken a shower earlier. He was writing in a notebook when the beep occurred. His professor was speaking in the background, but participant_e was not processing the content of the speech.","In this case, what was in my experience at the moment of the beep were the words, in my internal voice,[...] the words “with phenomena.” And, uh, that, that was because I had just written that down in a notebook. So that was my internal voice speaking them. AG: So is this a speaking thing or a hearing thing? 22:38 participant_e: It’s a speaking thing. [AG: Speaking thing.] I do think it, it is like an act. I’m producing the words.",with phenomena,inner_speaking,phrase,absent,absent,certain,0,0,0,high,absent,
82,participant_e,7.4.1,"participant_e was looking at his phone screen when the beep occurred. A notification from an online guitar course appeared, which he found annoying. At the same time, he was engaged in an inner conversation with his girlfriend.","It was not a serious 'Oh no,' but a clearly lighthearted one, like contradicting something she had said. [...] Okay. This, uh, in my experience were the words ‘Oh, no’ in, in an internal voice. [...] I was, uh, internally speaking. [...] I was speaking it to my girlfriend.","Oh, no",inner_speaking,phrase,absent,absent,certain,0,0,0,high,absent,
87,participant_e,10.5.1,"participant_e had just received a text message from someone asking, “Why don’t you just go to the grocery store like normal people?” The beep occurred while he was experiencing the phrase “normal people” and simultaneously imagining a grocery store.","somebody had, just for context, texted me asking why I don’t just go to the grocery store like normal people. So in my experience was the, uh, were the words “normal people”, uh, and that was auditory. I was auditorily experiencing the words “normal people” in my reading voice. [...] I’m producing these words.",normal people,inner_speaking,phrase,absent,absent,certain,0,0,0,high,absent,
88,participant_e,11.5.1,"participant_e was reading a text message on his phone when the beep occurred. He was not reading a full sentence at the moment but rather focusing on the single word ""bleeding.""","the word “bleeding.” And that was auditorily in my experience, in my inner voice, my internal speaking voice. [...] It was part of a sentence. I’m seeing the word and speaking the word",bleeding,inner_speaking,single_word,absent,absent,certain,0,0,0,high,absent,
94,participant_e,13.4.1,"The participant was thinking about Minecraft, though they were not actively playing at the moment of the beep. They were experiencing multiple sensory elements, including warmth, an alarm sound, and a visualized image of pixelated scales.","I had spoken the word 'scales,' and I was hearing my, I was hear, it was auditorially present to me because I hear it when I innerly speak it. [...] I wouldn't say I was hearing it more so than I was speaking it or that I was speaking it more so than I was hearing it, because they’re really kind of two sides of the same coin",scales,inner_both,single_word,absent,absent,certain,0,0,0,high,absent,
2,participant_a,4.1.2.,"Driving while listening to a Scottish folk song that tells a story about two warriors and the concept of the 'low road' of death. participant_a is imagining herself playing the guitar and singing in a classroom, where she is performing in her mind. The song is linked to the topics she has learned in her philosophy class, particularly the subject of death. She also mentions feeling soothed by the song compared to the heavier material in her class.","As I'm listening to the words, I am replicating them out into my imagination as myself in my own voice. [...] I am going with the song in my mind as the song is playing [...] I just kind of imagined singing that song, not like to her but like with her[...]So I see my teacher and, um, I see her as enjoying it as much as I do. And also my fellow peers[...]At the moment of the beep, I was in the scene of visualizing myself playing the guitar and saying the words of the song. But yet at the same time, I'm still imagining my teacher here and then students here.",indeterminate,inner_speaking,indeterminate,absent,absent,certain,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,
4,participant_a,7.1.2,"participant_a is reading text (a story about a young woman and her professor), sees the word “mad,” then takes note of her simultaneous visualization and inner commentary.","I was reading the words, uh, to myself in my head, um, hearing my voice speak each word.[...] I had a thought about the text that I was reading. And the thought was, do all poets die young? [...] I said that question to myself. RTH: And so when you say “I’m hearing myself speak,” it, does that mean my experience primarily as the speaker? Not primarily as the hearer? 16:19 participant_a: In terms of this particular beep, I am experiencing myself as speaking. 16:25 RTH: Okay. And speaking in two ways: One, reading the text that you’re reading, and the other is a question, “Do all poets really die young?” [participant_a: Yes.]",Do all poets really die young?,inner_speaking,full_sentence,absent,absent,certain,1,0,0,high,absent,
10,participant_a,9.2.2,"participant_a is typing “connectedness to the land” and simultaneously reading a sheet that says “mobile wanderer, nomadic exclusion.”","I read the words and I have a blip visual of a nomadic individual [...] I’m hearing myself speak [the text]. [...] I hear my voice reading the mobile wanderer whatever. [...] Similar that I’m hearing myself speak. Um, and also speaking, at the same time. 18:54 AK: So I am both the speaker and the hearer... [participant_a: Yes.]",mobile wanderer nomadic exclusion,inner_both,fragment,absent,absent,certain,0,0,0,high,absent,
11,participant_b,3.4.1,"participant_b is attending a lecture via Zoom, where his professor discusses differences in pronunciation of a medical term. Instead of listening, participant_b daydreams about being in a professional setting where he makes this pronunciation mistake and corrects himself.","I was in a scenario where I said “bun,” and it beeped when I was in the scenario. And I was saying, “I mean, B-U-N. Sorry, I’m working on that” verbally. [...] AK: And do you experience yourself speaking them? Or do you hear yourself say them? Or both, or doesn’t make sense? 39:40 participant_b: [inaudible] differentiate this last time. And I kind of misinterpreted like the, the tape recording. So like I didn’t initiate this. It was a daydream, so it was all just like coming out naturally. Um, and I guess I was saying them, but like, I, I didn’t initiate it or try to say it. It just like, my daydream took me there. 40:07 AK: Um hm. And so you said, “I guess I was saying it.” Does that mean I experienced myself as speaking the words, but I don’t really know where they’re coming from. They’re just, it’s not like I thought about it. They’re just coming out? Is that... [participant_b: Yeah.]","I mean, B-U-N. Sorry, I’m working on that.",indeterminate,full_sentence,present,absent,certain,2,0,0,high,absent,
13,participant_b,4.3.1,"participant_b is looking at a PowerPoint slide during a lecture but is not focused on its content. Instead, he is preoccupied with considering a backup plan for splitting notes in case his first choice does not work out. He imagines how he might ask another classmate to collaborate.","[…] it beeped when I was saying, “Would you still be interested in splitting notes?”  [...] 9:58 AK: Okay. And the words here are, “Would you still be interested in splitting notes?” Is that right? [participant_b: Mm hm.] Innerly spoken, I’m understanding [participant_b: Mm hm.] with inflection, normal voice, ... 10:11 participant_b: Normal voice, same one as, as the last one--as the first beep. 10:15 AK: And in the first beep we said that it was, your experience was of talking to the girl. [participant_b: Mm hm.] Here is your experience of talking to someone? [participant_b: Mm hm.] ",Would you still be interested in splitting notes?,inner_speaking,full_sentence,absent,absent,certain,1,0,0,high,absent,
17,participant_b,6.2.1,participant_b is typing notes about his previous beep (6.1). ," I heard, I said, ‘it happened quickly’ in my head in internal monologue at the rate of me typing. [...] 6:38 RTH: So this one, this one is definitely a speaking thing. [participant_b: Yeah.] I am creating these words and experiences of speaking them, not hearing them coming back from some, ah, loudspeaker that’s playing participant_b’s voice. 6:48 participant_b: Yeah, speaking them in my head [RTH: Okay.] as if I was saying them out loud. [RTH: Okay.] ",it happened quickly,inner_speaking,full_sentence,absent,absent,certain,1,0,0,high,absent,
18,participant_b,6.3.1,participant_b is texting a friend from his computer about how fingers sometimes curl when experiencing a boxer’s fracture.,"I was typing to him […] “my fingers did that” when it beeped and said it quickly as I typed it quickly. So like the speed of the words that I was saying in my head was fast, just like my typing. All I’m doing is typing ‘my fingers did that’ [...] RTH: Okay. And so is your experience of the, I guess I, I didn’t figure this out. So you’re typing “my fingers did that.” [participant_b: Mm hm.] And you’re saying these words along with them? 11:22 participant_b: Yeah. Just like the last one where I was typing. And I was saying the words along with me typing [...]",My fingers did that.,inner_speaking,full_sentence,absent,absent,certain,1,0,0,high,absent,
19,participant_b,6.4.1,"Responding to a text. He had used “ploy,” decided to replace it, and placed his cursor next to “ploy.”","[…] when it beeped, in inner speech, I said “scheme.” As if I was going to change the word “ploy” to “scheme.” ",scheme,inner_speaking,single_word,absent,absent,certain,0,0,0,high,absent,"he wanted to change the word plot to scheme, is it a dysfluency because he corrected himself?"
20,participant_b,6.5.1,A notification appears on participant_b’s phone: someone named “Daisy [UnpronounceableLastName]” followed him on Instagram. He is looking at the name.,"I said the word “Daisy,” which is the first name. And then the last name, which I’m not going to say, um, I didn’t say in inner speech, I was just looking at it because I couldn’t pronounce it. ",Daisy,inner_speaking,single_word,present,absent,certain,0,0,0,high,absent,
21,participant_b,7.1.1,"participant_b is at the airport, struggling to fit the beeper into his pocket while maneuvering around his wallet. Before the beep, he notices a woman looking at the beeper with what he perceives as suspicion. ","I said in my head in internal monologue, “It’s for a psychology experiment,” because I had an unsymbolized thought about how she might be suspicious of this weird device at an airport.",It's for a psychology experiment,inner_speaking,full_sentence,absent,absent,certain,1,0,0,high,absent,
24,participant_b,7.5.1,"participant_b is hurrying through the Chicago airport, trying to reach his next flight. As he moves, he innerly speaks the gate number ""K20"", reinforcing his awareness of where he needs to go.","""I said ‘K 20’ in my head and then saw K20 vaguely."" [...] ""At the moment of the beep, it was a clear sentence—‘K 20.’ Or not a sentence, but it was just clearly being said by me."" [...] ""That one was forced. Um, for sure, because I was saying it to reinforce the visual."" [...] ""When I say forced and I say initiated, I mean the same thing."" [...] ""Sometimes when I am initiating it, it will be like a full sentence. But sometimes when I’m not initiating it, it doesn’t need to be a full sentence."" [...] ""Like there’s, my mind is not filling in any blanks, where the other one is filling in the blanks without having to say it.""",K 20,inner_speaking,phrase,absent,absent,certain,0,0,0,high,absent,
