id,conversation_id,participant,turn_id,context,verbatim,words,unit_type,disfluency,laughter,clause,dependent_clause,"coordinate_clause
",ellipsis,comments
17,conversation_018206,participant_14,896,"participant_14 is explaining how he recognizes cars by their license plates. He posits that if someone swapped plates onto another car, he might momentarily think it’s a familiar car but then realize “it’s not the [BEEP]right car.” An everyday conversation about remembering number plates, moving them around, and how that would confuse him.","participant_1        893.0        I don't. <unclear>
participant_14        894.0        It would probably throw me completely If you <unclear>
participant_1                <unclear>
participant_14        895.0        it would throw me completely if you put, if you changed some of the number plates over.
participant_14        896.0        If you put Tina's number plate <pause> on another car <pause> and visa versa <pause> that would throw, I I'd probably look at it and think <pause> you know, oh somebody's got a new car or that looks familiar but it's not the [BEEP]right car so I wouldn't think about it.
participant_14        897.0        Even though I know Tina's is C two one one Y C L <pause> if it was on a different car <pause> I'd probably look at it <pause> and think
participant_1        898.0        Oh that's not right.",somebody's got a new car or that looks familiar but it's not the [BEEP]right car so I wouldn't think about it,full_sentence,absent,absent,4,0,3,absent,
18,conversation_018206,participant_1,1365,"participant_1 and participant_14 are discussing Tina’s relationship with her car — specifically one she was encouraged to buy by participant_6. The tone is retrospective and slightly critical. participant_1 describes how Tina disliked the car from the beginning and refused to drive it. The discussion comes after a long sequence about finances, mortgages, and lifestyle challenges. The focus here is on personal preference and emotional response toward an object imposed by another.","participant_1: “She’d like to change the car.”
participant_1: “She never liked that car.”
participant_1: “She had a nice car before participant_6 made her have that more or less.”
participant_1: “She didn’t want it.”
participant_1: “She hated it at [BEEP]first, she wouldn’t drive it.”
participant_1: “Noisy and clumsy, she didn’t like it at all.”
participant_1: “She never has really.”","She hated it at first, she wouldn’t drive it. ",full_sentence,absent,absent,2,0,0,absent,
19,conversation_018207,participant_1,1472,"participant_1 and participant_14 are engaged in a detailed comparison of flat layouts and dimensions. participant_1 is describing the sizes of different rooms, presumably from a printed listing or handwritten notes. The utterance containing the beep compares kitchen sizes. The phrase with the beep includes a mild disfluency: the measurement she gives as a “total” is actually smaller than the kitchen size she just stated, which may suggest a misstatement. The beep occurs mid-word, inside “totals.”","participant_1: “The lounge is fourteen by ten.”
participant_1: “The bedroom is thirteen nine by nine <unclear> instead of eleven by eight.”
participant_1: “That kitchen’s thirteen by five, that total[BEEP]s eleven by seven.”
participant_14: “Neither here nor there is it?”","That kitchen’s thirteen by five, that totals eleven by seven.",full_sentence,absent,absent,2,0,0,absent,
20,conversation_018207,participant_1,1508,"participant_14 is speculating about the economics of converting houses into flats. Just before the beep, he says that if someone had sold the houses individually, they’d likely get £40,000 apiece. participant_1 responds with a quick “Yeah,” showing agreement or affirmation. The utterance is extremely short, and the beep coincides precisely with the word.","participant_14: “They could be sixty thousand apiece.”
participant_1: “[BEEP]Yeah.”
participant_14: “Whereas if he had, if he sold them as separate houses he’d probably get forty thousand apiece.”
participant_1: “Yeah that’s just <unclear> Yeah.”",Yeah,single_word,absent,absent,0,0,0,absent,
21,conversation_018301,participant_1,1602,"participant_1 is recounting the situation around a property they are trying to buy. The group (participant_1, participant_14, and another interlocutor) is discussing a seller who isn’t enthusiastic about their offer. The conversation is collaborative and analytical, focused on pricing, the market, and financial viability. participant_1 opens the discussion with this line — setting the frame for what follows. The beep occurs in the very first word of her turn: “We”","participant_1: “W[BEEP]e have made him an offer but he's not very keen.”
participant_2: “<unclear>”
participant_14: “I don't think, I don't think he will.”
participant_14: “He's not like that.”",We have made him an offer but he's not very keen.,full_sentence,absent,absent,2,0,1,absent,
22,conversation_018301,participant_1,1618,"participant_1 continues the conversation about renting versus buying. After noting that they currently pay £250 a month in rent, she adds that this amount would cover a mortgage. The beep occurs just before the word “you.” This sentence strengthens the group's shared reasoning that their rent could be redirected toward ownership. It is a continuation of the economic comparison.","participant_1: “Well that's it.”
participant_1: “I mean we're paying two hundred and fifty pound a month so at least he's getting that coming in.”
participant_1: “But then [BEEP]you can really have a mortgage for that.”
participant_2: “<unclear> and the thing is as well <unclear>”
participant_1: “No.”
participant_1: “But at the moment he's <pause> well he's not come back to us with any answer from our offer at all…”",But then you can really have a mortgage for that.,full_sentence,absent,absent,1,0,0,absent,
23,conversation_018302,participant_14,1675,"participant_14, participant_1, and participant_10 are discussing the layout of a kitchen, trying to determine where a fridge might fit. The conversation revolves around whether there's space for a regular fridge or whether something more compact is required. participant_14 begins a hypothetical construction: “Unless you...”, repeating it before completing the thought. The beep occurs immediately after “Unless you,” before the rest of the sentence unfolds.","participant_10: “Or is it just an ordinary worktop one?”
participant_1: “No just an ordinary fridge.”
participant_14: “There isn't a fridge.”
participant_1: “Well there will be.”
participant_1: “Just an ordinary one.”
participant_14: “Unless you[BEEP], unless you get the fridge in the <unclear> cupboard.”","Unless you…, unless you get the fridge in the <unclear> cupboard.",full_sentence,present,absent,1,1,0,absent,
24,conversation_018302,participant_14,2016,"participant_14 and participant_10 are interacting with something mechanical—likely a door or lock. participant_10 asks for assistance, and participant_14 begins a sentence that seems intended to explain the issue. He starts with “Yeah it’s not…”, but doesn’t finish the thought before the turn shifts. The beep falls inside the word “it’s”.","participant_10: “Can you hold it here so it’s… I haven’t turned it round the other way.”
participant_14: “Yeah it[BEEP]’s not…”
participant_10: “It needs…”
participant_14: “It needs, just needs a little bit of attention.”",Yeah it’s not,fragment,present,absent,1,0,0,absent,
25,conversation_018303,participant_14,2048,"This occurs during a playful exchange after participant_2 mentions they were in the bath and not “decent” enough to open the door. participant_14 jokingly replies with a flirtatious and humorous offer, saying he could have washed their back if they’d let him in. The entire context is light-hearted and filled with laughter from multiple participants. The beep falls mid-word in “could.”","participant_2: “I wasn't quite decent and I thought well I'm not letting people in when I'm not decent.”
participant_10: “Oh no.”
participant_14: “If you'd have let me in I cou[BEEP]ld have washed your back for you.”
(General laughter)",If you'd have let me in I could have washed your back for you,full_sentence,absent,absent,2,1,0,absent,
26,conversation_018303,participant_2,2117,"The participants are inspecting a cupboard, described by participant_2 as an airing cupboard that doesn’t actually “air.” The speaker admits this frankly, continuing with a description of how cold the space is. The beep falls on a hesitation: “It’s [BEEP]er very cold,” where “er” is a filler (a hesitation, possibly a restart of ""it’s very cold"").","participant_14: “This is the airing cupboard in here is it?”
participant_2: “It’s [BEEP]er very cold in there.”
participant_1: “<unclear>”
participant_14: “Well it’s good <pause> good, got a well-lagged tank.”",It’s er very cold in there.,full_sentence,present,absent,1,0,0,absent,
27,conversation_018501,participant_5,6106,"The interaction begins with participant_14 exclaiming “Oh wow!”, likely in response to something surprising. participant_5 immediately follows with a socially conventional check-in: “Everything alright mate?” This is a classic informal question that serves a phatic (relational) function rather than seeking detailed information.","participant_14: “Oh wow!”
participant_5: “Eve[BEEP]rything alright mate?”
participant_1: “I dunno but I got a wonderful hand <pause> look wha I'll just show you for a start…”",Everything alright mate?,full_sentence,absent,absent,1,0,0,present,
28,conversation_018501,participant_14,6118,"The conversation has shifted to what appears to be some form of casual game or counting/organizing activity, possibly involving cards or money (based on participant_1’s line about “thirteen pence”). participant_14 reacts to something or someone in the environment by pointing out that “There’s a big [unclear] up there.” The precise referent is unintelligible, but the phrase structure is intact.","participant_1: “Thirteen pence darling <pause> you owe me still.”
participant_14: “There[BEEP]'s a big <unclear> up there.”
participant_14: “Please.”",There’s a big [unclear] up there,full_sentence,absent,absent,1,0,0,indeterminate,
29,conversation_018502,participant_14,6122,"participant_14, participant_1, and participant_2 are engaged in a card game, likely cribbage, based on point counting and terminology. This line follows participant_1 receiving something (""There you are dear"") and thanking the giver. participant_14 performs a point update and gently reminds someone (probably participant_1) about a balance: “you owe me thirteen pence.” The phrase is embedded in a series of game-related arithmetic turns.","participant_2: “There you are dear.”
participant_1: “Thank you <pause> <unclear>”
participant_14: “Now <pause> so that’s [BEEP]two each, you owe me thirteen pence yes?”","Now <pause> so that's two each, you owe me thirteen pence yes?",full_sentence,present,absent,2,0,0,absent,
30,conversation_018502,participant_14,6136,"The BEEP appears at the beginning of 6137.0 (“<p[BEEP]ause> Say, yeah fifty four, right, fair enough”), so the relevant speech to annotate is from 6136.0. participant_14 is reflecting on the difference between playing in pairs versus singles, using hypothetical speech to describe what someone might say casually during a game. The group continues playing cards in a relaxed setting. participant_14 is engaged in commentary about behavior during different types of gameplay.","participant_14        6136.0        <pause> Play in pairs, it's different but <pause> when you're just playing singles, you can say <pause> or maybe you could sort of <pause> friends that go, you'd probably say something like, are you sure?
participant_14        6137.0        <p[BEEP]ause> Say, yeah fifty four, right, fair enough"," Say, yeah fifty four, right, fair enough",full_sentence,present,absent,1,0,0,absent,
31,conversation_018507,participant_14,6526,"participant_1 is reflecting aloud about some unclear rule or situation, ending with “probably not, every bit of it.” participant_14 responds with “Mm,” possibly to signal acknowledgement, agreement, or passive listening. The context is conversational but subdued, with participant_14 offering minimal verbal feedback. There is no further elaboration from him at that moment.","participant_1: “It doesn't say it has to be other people here <pause> probably not, every bit of it.”
participant_14: “M[BEEP]m.”
participant_1: “but”
participant_14: “Some of it.”
participant_1: “Mm.”",Mm,single_word,absent,absent,0,0,0,absent,
32,conversation_018507,participant_14,6599,"participant_1 and participant_14 have finished playing a card game. participant_14 jokes about winning all her pennies, and participant_1 responds with the word “Cry.” participant_14 then asks “Really?” — a question that seems either sarcastic or teasing, possibly in response to her tone or expression. The interaction is clearly playful and emotionally expressive, with repeated “Cry, cry…” and laughter following.","participant_1: “Cry.”
participant_14: “Now I’ve won all your pennies off you.”
participant_1: “Cry.”
participant_14: “You’re not are you?”
participant_14: “Really[BEEP]?”
participant_1: “Yeah.”
participant_14: “Cry, cry…”",Really?,single_word,absent,absent,0,0,0,present,
33,conversation_018603,participant_13,8433,"This occurs in a highly dynamic family interaction with multiple overlapping voices, children shouting, and frequent topic shifts. Just before the beep, participant_13 (a child) is calling for attention—“Nanny… these.” Then he shouts “Upstairs,” likely in response to a question or simply to indicate where something or someone is located. There’s no elaboration, and the beep occurs just before the word.","participant_13: “Nanny <unclear>!”
participant_1: “What darling?”
participant_13: “These.”
participant_1: “The what?”
participant_13: “[BEEP]Upstairs.”
participant_11: “I think he means.”",Upstairs,single_word,absent,absent,0,0,0,present,
34,conversation_018603,participant_8,8454,participant_1 and participant_8 are coordinating an errand—participant_8 is going into a store (Gateway) while participant_1 remains outside with a pushchair. participant_8 confirms where she’ll be by saying “I’ll be in Gateways then.” The beep lands mid-word on “then.” The utterance concludes a logistical exchange and is framed as a clear update or instruction.,"participant_1: “No, I'm not having in there, with the pushchair and the–”
participant_8: “I'll be in Gateways the[BEEP]n.”
participant_1: “I won't be a minute.”
participant_8: “Quickly.”",I’ll be in Gateways then,full_sentence,absent,absent,1,0,0,absent,
35,conversation_018604,participant_1,8550,"This moment occurs in a playful, high-energy part of the conversation with children present. participant_1 mimics the sound of a car horn, “Bib bib bib bib!”, in direct response to a child (Anna Marie) who had been doing the same. Immediately afterward, the child says, “I was being a car,” confirming the playful intent. The tone is light, performative, and interactional.","Anna Marie: “Bib bib bib!”
participant_1: “Bib bib b[BEEP]ib bib!”
Anna Marie: “I was being a car.”
participant_1: “That was a car, yeah.”",Bib bib bib,fragment,absent,absent,0,0,0,absent,
36,conversation_018604,participant_8,8610,"participant_8 is recounting a dramatic event — a car breakdown on a dual carriageway. The beep falls mid-sentence, just as she says “the car blew up.” This is clearly a central narrative moment, and the tone is animated and emphatic. The sentence is complete and part of a longer sequence of storytelling that involves multiple episodes and emotional content.","participant_8: “Alright <unclear> <pause> th the car blew [BEEP]up on a dual carriageway…”
participant_11: “That's right.”
participant_8: “a big bang <pause> I'm driving there's this great big bang and the bonnet lit up”",The car blew up on a dual carriageway,full_sentence,present,absent,1,0,0,absent,
37,conversation_018905,participant_14,11865,"participant_1 and participant_14 are discussing preoccupations, mental activity before sleep, and stress around upcoming plans. participant_14 is reflecting on the experience of tossing and turning, anxious thoughts, and trying to fall asleep. In this moment, he addresses participant_1 with: “cos you have the same trouble,” framing their experience as shared. The beep occurs inside the word “have.”","participant_14: “Yeah you're sort of thinking… you know is everything gonna work out?”
participant_14: “Carpets down and then we got their cooker and the fridge…”
participant_1: “I know.”
participant_14: “They just go through your mind, don't they?”
participant_1: “What it's all gonna look like?”
participant_14: “Will it look nice?”
participant_14: “Will it fit and how tall is it…?”
participant_14: “Will we be able to get in before the day…?”
participant_14: “As you know, cos you h[BEEP]ave the same trouble.”","As you know, cos you have the same trouble",full_sentence,absent,absent,2,2,0,absent,
38,conversation_018907,participant_1,11957,"participant_1 and participant_14 are reflecting on the stressful pace of recent events, likely involving a move or large purchase. participant_1 has just said, “All seems to have happened in such a rush.” participant_14 begins a qualifying reply but is interrupted by participant_1’s emotionally expressive and summarizing statement: “There’s so much to think about.” The beep lands right before the sentence begins.","participant_1: “All seems to have happened in such a rush.”
participant_14: “Well yeah but–”[BEEP]
participant_1: “There’s so much to think about.”
participant_14: “I know.”",Well yeah but–,fragment,present,absent,0,0,0,absent,
39,conversation_018907,participant_14,12053,"participant_1 is expressing reluctance to spend money on a stair carpet until other residents have moved in and taken responsibility. participant_14 responds with a minimal affirmation: “Yeah.” The beep occurs just before the word. participant_1 then continues, reinforcing the point about future necessity.","participant_1: “I'm not splashing out on stair carpet until somebody else has been in <unclear> as well.”
participant_14: “[BEEP]Yeah.”
participant_1: “Well there’s something that will have to be will be…”",Yeah,single_word,absent,absent,0,0,0,absent,
40,conversation_018908,participant_1,12088,"participant_14 says, “I’ve gotta nip upstairs,” followed by a justification or softening statement. participant_1 responds with “Yep… that’s fine.” The beep lands inside the word “Yep,” a quick, relaxed affirmation. It occurs in a casual, cooperative domestic exchange.","participant_14: “I've gotta nip upstairs.”
participant_1: “Er <pause> yes. <laugh>”
participant_14: “Cos I <pause> wouldn't know <pause> I've done enough <pause> <unclear> okay?”
participant_1: “Y[BEEP]ep <pause> that's fine.”",Y[BEEP]ep <pause> that's fine.,full_sentence,absent,absent,1,0,0,absent,
41,conversation_018909,participant_1,12160,"participant_1 has been reflecting on her desire to be more independent — to go into town without relying on participant_14. She mentions getting a second-hand bicycle and expresses that this would allow her to “pop anywhere” without waking him. The beep lands mid-word on “independence,” within a well-formed and emotionally meaningful statement: “It'll give me a little independence as well.","participant_1: “…just for the occasional trip into town without getting Stuey out of bed… so I be a bit more independent than just bothering you all time, if I just wanna pop anywhere.”
participant_14: “It isn't a great problem… not really.”
participant_1: “No I know my but it <pause> it'll give me a little independen[BEEP]ce as well <pause> will it not?”
participant_14: “You got a shop at the top of the road ain't you?”"," No I know my but it... it'll give me a little independence as well, will it not?",full_sentence,present,absent,1,0,0,present,
42,conversation_018909,participant_1,12169,"This is a continuation of a conversation about local shops and accessibility. participant_14 had just mentioned the proximity of shops, and participant_1 agrees, adding that they are conveniently close to both (presumably Rainbow and Tesco). The beep occurs inside the word “pause” (likely a transcription error for an inline timing mark). The real surrounding phrase is: “Yeah… yeah that’s what I mean… we’re nearer to the both of them really.”","participant_14: “The new Tescos <unclear> won't be the other way will it?”
participant_1: “The other way, no.”
participant_14: “<unclear>”
participant_1: “Yeah <pause> yeah that's what I mean it <paus[BEEP]e> we're nearer to the both of them really.”","Yeah, yeah, that's what I mean, it... we're nearer to the both of them really.",full_sentence,present,absent,2,0,0,absent,
43,conversation_019101,participant_1,13213,"participant_1 is explaining how the wallpaper was laid improperly — the pieces didn’t match, and someone just placed a cut piece without care. She builds up to expressing strong refusal to do it herself in such a way. participant_14 responds in agreement. participant_1 and participant_14 are in conversation about decorating — specifically wallpapering and carpeting. They’re discussing technicalities, mistakes, and preferences. The setting is domestic and casual; the tone is practical with occasional emotion.","participant_1        13213.0        but it just knocked the cotton sticks out, just put the piece down, there's no [BEEP]way I'm gonna do this, so it doesn't matter does it?
participant_14        13214.0        No.
participant_1        13215.0        That's definitely, this is the raw bit and that's a bit of the end of the cut-off, probably have <unclear> the landing or something <pause> can use the rest of it through <unclear>
","there's no way I'm gonna do this, so it doesn't matter does it?",full_sentence,absent,absent,4,2,1,present,
44,conversation_019101,participant_1,13225,"participant_1 tells a narrative about wallpapering late into the night. She builds up a chain of justifications — “just a bit more,” “then I’ll go to bed” — ending with her wife reacting to how late it was. participant_1 then quotes her own response: “about an hour ago.” This is spoken in the form of a quoted reply to her wife's real question. The conversation remains personal and domestic, centered on DIY/home decorating. The participants are reminiscing, swapping stories. The tone here is humorous and anecdotal.","participant_1        13225        Certainly when we get settled in after Christmas that should be <unclear dur=10> and I'll shall say about six rolls <unclear> but I'll shall say six rolls <unclear dur=8> <pause> and just the <unclear> <pause> every time I get one roll of wallpaper up and you you'll think oh I'll do the rest tomorrow <unclear> just a bit more, then you get one more <unclear> looks alright there, <unclear> the other wall and er, I'm sat, I've been up all night doing this <unclear> shall do one more then I'll go a bed <pause> <unclear> <laugh>, I get from the wife bloody hell mother what time did you go to bed, a[BEEP]bout an hour ago <laugh>, couldn't leave it <pause dur=11> <unclear> <pause> <unclear> wallpaper.","bloody hell mother what time did you go to bed, a[BEEP]bout an hour ago",full_sentence,absent,absent,1,0,0,present,
45,conversation_019202,participant_1,14191,"The participants are discussing plans for the day, involving estate agents, solicitors, and possible trips to family. Financial concerns and errands dominate the dialogue. The setting seems domestic and the topic practical and administrative. The conversation revolves around financial planning and spending related to a mortgage. participant_14 has just said “My house, my house, my <unclear>,” and participant_1 is responding with a statement about authorization and financial decision-making.",participant_1: “I sho[BEEP]uldn't think until you at least gone to the mortgage he's gonna give us authorization to spend his money.”,I shouldn't think until you at least gone to the mortgage he's gonna give us authorization to spend his money.,full_sentence,absent,absent,3,1,0,absent,
46,conversation_019303,participant_14,14507,"The setting appears to involve both participant_14 and participant_1, along with a third participant (participant_2), likely in a formal or semi-formal setting, possibly financial or logistical (e.g., bank, estate office). They’re discussing timing, money transfers, and account details. participant_14 is commenting on something taking longer than expected — possibly a process or arrangement related to moving or settling something, as later turns refer to transferring money and getting in somewhere.",participant_14: “It looks like a littl[BEEP]e bit longer than we first <unclear>”,It looks like a little bit longer than we first,full_sentence,absent,absent,2,0,0,indeterminate,
47,conversation_019501,participant_14,15924,"The pair appear to be out together, likely running errands or visiting someone. The mood is casual and cooperative, and they are in a car, completing the parking maneuver. participant_14 and participant_1 are in a vehicle, having just parked. They discuss where to park — near the fence — and participant_14 checks if their position is acceptable to participant_1.","participant_14        15922.0        Is that near enough?
participant_1        15923.0        Yep.
participant_14        15924.0        [BEEP]Yep?
participant_14        15925.0        Yep that's <unclear> <pause>
participant_1        15926.0        Is there one for participant_1 or not?
participant_14        15927.0        There <pause> is, yes.",Yep?,single_word,absent,absent,0,0,0,absent,
